rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2:03.42,,Jamaica U18,,JAM,1,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,123.42,FRA,,2011
2,2:03.83,,United States U18,,USA,1,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,123.83,HUN,,2001
3,2:03.87,,United States U18,,USA,1f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,female,u18,medley-relay,track,123.87,CAN,,2003
4,2:03.92,,United States U18,,USA,2,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,123.92,FRA,,2011
5,2:03.93,,United States U18,,USA,1f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,123.93,MAR,,2005
6,2:04.32,,United States U18,,USA,1f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,124.32,ITA,,2009
7,2:04.57,,Italy U18,,ITA,1,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,female,u18,medley-relay,track,124.57,MKD,,2025
8,2:05.15,,United States U18,,USA,1,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,125.15,UKR,,2013
9,2:05.23,,Italy U18,,ITA,1f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,female,u18,medley-relay,track,125.23,SVK,,2024
10,2:05.54,,Poland U18,,POL,2f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,female,u18,medley-relay,track,125.54,SVK,,2024
11,2:05.59,,Jamaica U18,,JAM,1h2,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,125.59,FRA,,2011
12,2:05.62,,Americas U18,,INT,1,Singapore (SGP),2010-08-23,,medley-relay,relays,female,u18,medley-relay,track,125.62,SGP,,2010
13,2:05.72,,Canada U18,,CAN,3,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,125.72,FRA,,2011
14,2:05.74,,United States U18,,USA,1f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,125.74,CZE,,2007
15,2:05.93,,Switzerland U18,,SUI,2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,female,u18,medley-relay,track,125.93,MKD,,2025
16,2:06.13,,Romania U18,,ROU,1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,126.13,SLO,,2023
17,2:06.19,,Africa U18,,INT,2,Singapore (SGP),2010-08-23,,medley-relay,relays,female,u18,medley-relay,track,126.19,SGP,,2010
18,2:06.26,,Nigeria U18,,NGR,4,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,126.26,FRA,,2011
19,2:06.30,,Poland U18,,POL,3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,female,u18,medley-relay,track,126.3,MKD,,2025
20,2:06.45,,Italy U18,,ITA,2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,126.45,SLO,,2023
21,2:06.54,,United States U18,,USA,1h2,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,126.54,CAN,,2003
22,2:06.58,,Australia U18,,AUS,2f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,126.58,MAR,,2005
23,2:06.60,,Brazil U18,,BRA,3f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,126.6,MAR,,2005
24,2:06.77,,Jamaica U18,,JAM,2f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,126.77,CZE,,2007
25,2:07.05,,Jamaica U18,,JAM,2f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,female,u18,medley-relay,track,127.05,CAN,,2003
26,2:07.06,,Ireland U18,,IRL,4,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,female,u18,medley-relay,track,127.06,MKD,,2025
27,2:07.13,,United States U18,,USA,1h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,127.13,UKR,,2013
28,2:07.16,,Czech Republic U18,,CZE,3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,127.16,SLO,,2023
29,2:07.18,,Great Britain & NI U18,,GBR,1f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,127.18,ISR,,2022
30,2:07.22,,United States U18,,USA,1h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,127.22,MAR,,2005
31,2:07.24,,Italy U18,,ITA,1h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,127.24,SLO,,2023
32,2:07.28,,Germany U18,,GER,4f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,female,u18,medley-relay,track,127.28,SVK,,2024
33,2:07.30,,Romania U18,,ROU,2h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,127.3,SLO,,2023
33,2:07.30,,France U18,,FRA,5,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,female,u18,medley-relay,track,127.3,MKD,,2025
35,2:07.35,,Italy U18,,ITA,2f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,127.35,ISR,,2022
36,2:07.39,,Poland U18,,POL,1h3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,female,u18,medley-relay,track,127.39,MKD,,2025
37,2:07.40,,British Virgin Islands U18,,IVB,2,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,127.4,UKR,,2013
38,2:07.45,,Jamaica U18,,JAM,2,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,127.45,HUN,,2001
39,2:07.46,,Italy U18,,ITA,1,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,127.46,HUN,,2018
40,2:07.51,,United States U18,,USA,1h2,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,127.51,ITA,,2009
41,2:07.59,,Europe U18,,INT,3,Singapore (SGP),2010-08-23,,medley-relay,relays,female,u18,medley-relay,track,127.59,SGP,,2010
42,2:07.61,,Japan U18,,JPN,3,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,127.61,UKR,,2013
43,2:07.62,,Russia U18,,RUS,5,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,127.62,FRA,,2011
44,2:07.66,,Great Britain & NI U18,,GBR,1h3,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,127.66,ISR,,2022
45,2:07.71,,United States U18,,USA,1f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,127.71,POL,,1999
46,2:07.72,,Switzerland U18,,SUI,5f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,female,u18,medley-relay,track,127.72,SVK,,2024
47,2:08.04,,Jamaica U18,,JAM,1h1,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,128.04,CZE,,2007
48,2:08.08,,Ukraine U18,,UKR,6f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,female,u18,medley-relay,track,128.08,SVK,,2024
49,2:08.14,,Norway U18,,NOR,7f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,female,u18,medley-relay,track,128.14,SVK,,2024
50,2:08.25,,Australia U18,,AUS,2h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,128.25,MAR,,2005
50,2:08.25,,Russia U18,,RUS,1h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,128.25,MAR,,2005
